MANDT,BILLINGDOCUMENTTYPE,LANGUAGE,BILLINGDOCUMENTTYPENAME
102,B2,8,Коректування бонуса
102,B2,9,Boonuse parandus
102,B2,A,تصحيح الخصم
102,B2,B,תיקון הנחת לקוח
102,B2,C,Oprava bonusu
102,B2,D,Bonuskorrektur
102,B2,E,Rebate Correction
102,B2,F,Correction ristourne
102,B2,G,Διόρθωση έκπτ.τζίρου
102,B2,H,Bónuszjavítás
102,B2,I,Correz. bonus
102,B2,J,リベート訂正
102,B2,K,Bonuskorrektion
102,B2,L,Korekta rabatu
102,B2,M,回扣更正
102,B2,N,Bonuscorrectie
102,B2,O,Bonusjustering
102,B2,P,Correção de bônus
102,B2,Q,Oprava bonusu
102,B2,R,Корректировка бонуса
102,B2,S,Corrección rappel
102,B2,T,Prim düzeltmesi
102,B2,U,Bonuskorjaus
102,B2,V,Bonusjustering
102,B2,W,Корекция на рабата
102,B2,X,Nuolaidos pataisymas
102,B2,Y,Bonusatlaides labošana
102,B2,c,Condició p.ràpel
102,B2,d,Ispravka bonusa
102,B2,묩,छूट सुधार
102,B2,뱋,Бонусты түзету
102,B2,쁩,Đ.chỉnh chiếtkhấu
102,B2E,1,除折扣更正外
102,B2E,2,Exp. Rebate Correcn
102,B2E,3,확장 리베이트 수정
102,B2E,4,Ext.credit memo rab.
102,B2E,5,Razš.popravek bonusa
102,B2E,6,Proš.ispr.rabata
102,B2E,7,Pbetulan Rebat Djgka
102,B2E,8,Розшир.корект.бонуса
102,B2E,9,Eeld. boon. parand.
102,B2E,A,تصحيح خصم متوقع
102,B2E,B,תיקון הנחה צפויה
102,B2E,C,Oček.oprava bonusu
102,B2E,D,Erw. Bonuskorrektur
102,B2E,E,Exp. Rebate Correcn
102,B2E,F,Correc. rist. étend.
102,B2E,G,Exp. Rebate Correcn
102,B2E,H,Bőv. bónuszkorrekt.
102,B2E,I,Corr. bonus ampliata
102,B2E,J,拡張リベート修正
102,B2E,K,Udv. bonuskorrektion
102,B2E,L,Rozsz. korekta rab.
102,B2E,M,免除回扣更正
102,B2E,N,Verw. bonuscorrectie
102,B2E,O,Forv. bonusjustering
102,B2E,P,Correção bônus prev.
102,B2E,Q,Rozšír.oprava bonusu
102,B2E,R,Расш. корр. бонуса
102,B2E,S,Correc.rappel prev.
102,B2E,T,Glştr.prim dzlt.
102,B2E,U,Laaj. bonuskorjaus
102,B2E,V,Utök. bonusjustering
102,B2E,W,Разшир.КорекцияРабат
102,B2E,X,Išr.nuolaid.patais.
102,B2E,Y,Izvērst bonusatlaides labošanu
102,B2E,c,Despl.correc.abon.
102,B2E,d,Prošir.isprav.rabata
102,B2E,묩,अपेक्षित छूट सुधार
102,B2E,뱋,Кеңейт.бонусты түз.
102,B2E,쁩,Đ.chỉnh ck.mởrộng
102,B3,1,回扣部分结算
102,B3,2,ชำระบางส่วนเงินคืน
102,B3,3,리베이트파트정산
102,B3,4,Decont.parţ.rabat
102,B3,5,Delni obračun bonusa
102,B3,6,Djelom.obrač.rabata
102,B3,7,Pnylesaian Bhgn Rbat
102,B3,8,Част.розрахун.бонуса
102,B3,9,Boonuse osal. arvld.
102,B3,A,تسوية جزء من الخصم
102,B3,B,הנחה על איזון חלק
102,B3,C,Dílčí zúčtov.bonusu
102,B3,D,Bonusteilabrechnung
102,B3,E,Rebate Part Settlmnt
102,B3,F,Décompte part. rist.
102,B3,G,Μέρ.Διακ.Εκπτωσης
102,B3,H,Bónuszrész elszámols
102,B3,I,Liquid.parz.bonus
102,B3,J,リベート分割決済
102,B3,K,Bonusdelafregning
102,B3,L,Częśc. rozl. rabatu
102,B3,M,回扣部份結算
102,B3,N,Deelafrekening bonus
102,B3,O,Delavregning - bonus
102,B3,P,Liq.parcial bônus
102,B3,Q,Čiast.zúčtov.bonusu
102,B3,R,Част. расчет бонуса
102,B3,S,Liq.parcial rappel
102,B3,T,Prim kısmi hspl.
102,B3,U,Bonuksen osatilitys
102,B3,V,Delavräkning bonus
102,B3,W,Част. урежд. на раб.
102,B3,X,Nuol.dalinis atsisk.
102,B3,Y,Daļējs bonusatlaides norēķins
102,B3,c,Liquid.parc.ràpel
102,B3,d,Delim.obračun bonusa
102,B3,묩,छूट भाग निपटान
102,B3,뱋,Бон.жарт.есеп айыр.
102,B3,쁩,Tt.từngphần ckhấu
102,B3E,1,免除回扣部分结算
102,B3E,2,Exp.RebatePartSettlm
102,B3E,3,확장리베이트부분정산
102,B3E,4,Ext.DecontRabatParţl
102,B3E,5,Razš.delni obr. bon.
102,B3E,6,Proš.:Djel.obrač.rab
102,B3E,7,PylsnSparaRebatDjgka
102,B3E,8,Розш.част.роз.бонуса
102,B3E,9,Eeld.boon.osal.arvl.
102,B3E,A,تسويةجزئيةلخصم متوقع
102,B3E,B,פרעון שותף הנחה צפוי
102,B3E,C,Oček.díl.zúčt.bonusu
102,B3E,D,Erw. Bonusteilabrech
102,B3E,E,Exp.RebatePartSettlm
102,B3E,F,Calc. part. ris. ét.
102,B3E,G,ΕξωτΔιακανΤμήμαΕκπτ.
102,B3E,H,Bőv.bónuszrészelsz.
102,B3E,I,Ampl.:liq.parz.bonus
102,B3E,J,拡張分割リベート決済
102,B3E,K,Udv. bonusdelafregn.
102,B3E,L,Ocz. rozl. cz. rab.
102,B3E,M,免除回扣部份結算
102,B3E,N,Verw. bonusdeelafr.
102,B3E,O,Forv. delavr./bonus
102,B3E,P,LiqParcBônus prev.
102,B3E,Q,RozČiastZúčtBonusu
102,B3E,R,РасшЧастРасчетБонуса
102,B3E,S,Liq.parc.rappel amp.
102,B3E,T,Glştr.prim kısmi hsp
102,B3E,U,Odot. bon. osatilit.
102,B3E,V,Utök. DelavräknBonus
102,B3E,W,Рабат-Част.споразум.
102,B3E,X,Išr.nuo.dalinis ats.
102,B3E,Y,Izvērst daļējo bonusatlaides norēķinu
102,B3E,c,Liq.parc.ràpel ampl.
102,B3E,d,Prošir.del.obr.bon.
102,B3E,묩,अपे.छूट भाग निपटान
102,B3E,뱋,Бон.кең.жар.ес.айыр.
102,B3E,쁩,Tt.tphần ckmởrộng
102,B4,1,回扣手工增值
102,B4,2,Rebate Manual Accrls
102,B4,3,리베이트수작업이자
102,B4,4,Bonif.rezervă manual
102,B4,5,Ročna vračila rabata
102,B4,6,Ručni obračun rabata
102,B4,7,Akruan Manual Rebat
102,B4,8,Бонус/рез.від.вручну
102,B4,9,Boon. käsitsieraldis
102,B4,A,خصم استحقاقات يدوية
102,B4,B,הנחת הצטברויות ידנית
102,B4,C,Bonus manuál.zásob
102,B4,D,Bonus man.Rückstell.
102,B4,E,Rebate Manual Accrls
102,B4,F,Prov. manuel. rist.
102,B4,G,Μη αυτ.εκπτ. Δεδουλ.
102,B4,H,Bónusz man.céltart.
102,B4,I,Bonus - rateizz.man.
102,B4,J,リベートman.見越額
102,B4,K,Bonus man. hensæt.
102,B4,L,Rabat rezerwy ręcz.
102,B4,M,回扣人工應計
102,B4,N,Bonus handm.reserv.
102,B4,O,Man. avsetn. - bonus
102,B4,P,Bônus provis.manuais
102,B4,Q,Bonus manuál.zásob
102,B4,R,Бонус/РезОтчслВручн
102,B4,S,Rappel provis.manual
102,B4,T,Prim manüel krşl.
102,B4,U,Bonus - man. var.
102,B4,V,Manuell bonusavräkn.
102,B4,W,РезРъчОтчисл за раб.
102,B4,X,Nuolaid.rankin.kaup.
102,B4,Y,Bonusatlaides manuāli uzkrājumi
102,B4,c,Delimit.manual ràpel
102,B4,d,Ručna rezerva bonusa
102,B4,묩,छूट मैन्यूअल उपचय
102,B4,뱋,Бон.қол.енг.рез.ауд.
102,B4,쁩,D.tíchtcông c.khấu
102,BDR1,1,外部开票凭证申请
102,BDR1,2,คำขอเอกสารการวางบิลภายนอก
102,BDR1,3,외부 청구 문서 요청
102,BDR1,4,Cerere document de facturare ext.
102,BDR1,5,Eksterna zahteva za dokument obračuna
102,BDR1,6,Vanjski zahtjev za fakturni dokument
102,BDR1,7,Permintaan Dokumen Pengebilan Luaran
102,BDR1,8,Зовнішній запит документа розрахунку
102,BDR1,9,Välise arveldusdokumendi taotlus
102,BDR1,A,طلب مستند الفوترة الخارجي
102,BDR1,B,בקשה למסמך חיוב חיצוני
102,BDR1,C,Požadavek na fakturační doklad (externí)
102,BDR1,D,Externe Fakturaanforderung
102,BDR1,E,External Billing Document Request
102,BDR1,F,Demande de document de facturation
102,BDR1,G,Αίτηση Παραστατικού Τιμολόγησης
102,BDR1,H,Számlaigény
102,BDR1,I,Richiesta documento di fatturazione
102,BDR1,J,請求伝票依頼
102,BDR1,K,Fakturaforespørgsel
102,BDR1,L,Żądanie dokumentu rozliczeniowego
102,BDR1,M,請款文件請求
102,BDR1,N,Facturatiedocumentaanvraag
102,BDR1,O,Fakturaforespørsel
102,BDR1,P,Solicitação de documento de faturamento
102,BDR1,Q,Požiadavka na fakturačný doklad
102,BDR1,R,Запрос фактуры
102,BDR1,S,Solicitud documento facturación
102,BDR1,T,Faturalama belgesi talebi
102,BDR1,U,Laskupyyntö
102,BDR1,V,Begäran om faktura
102,BDR1,W,Заявка за док. за изготвяне на сметка
102,BDR1,X,Atsiskaitymo dokumento užklausa
102,BDR1,Y,Norēķinu dokumenta pieprasījums
102,BDR1,c,Sol·lic.doc.facturació
102,BDR1,d,Zahtev za fakturu
102,BDR1,묩,बिलिंग दस्तावेज़ अनुरोध
102,BDR1,뱋,Сыртқы фактуралық құжатқа сұрау
102,BDR1,쁩,Yêu cầu chứng từ lập h.đơn b.ngoài
102,BDRC,1,外部贷项开票凭证请求
102,BDRC,2,คำขอเอกสารการวางบิลเครดิตภายนอก
102,BDRC,3,외부 대변 청구 문서 요청
102,BDRC,4,Cerere doc.fact.credit ext.
102,BDRC,5,Zahteva za eksterni dok. fakt.dobropisa
102,BDRC,6,Vanjsko potraž.:zahtjev za fakturni dok.
102,BDRC,7,Permintaan Dok. Pengebilan Kredit Luaran
102,BDRC,8,Зовн.кредит: запит документа фактури
102,BDRC,9,Väl. kr. arveldusdokumendi taotlus
102,BDRC,A,طلب مستند إعداد فواتير دائن خارجي
102,BDRC,B,זיכוי חיצוני - בקשה של מסמך חיוב
102,BDRC,C,Ext. fakturační doklad-kredit-požadavek
102,BDRC,D,Fakturaanforderung extern Gutschrift
102,BDRC,E,Ext. Credit Billing Doc. Request
102,BDRC,F,Demande document facture avoir ext.
102,BDRC,G,Εξωτ.Αίτηση Παραστ.Τιμολόγ.Πίστωσης
102,BDRC,H,Külső jóváírás - számlaigénylés
102,BDRC,I,Rich. documento fatturazione cred. est.
102,BDRC,J,外部貸方請求伝票依頼
102,BDRC,K,Anmodn. om ekst. kredit. faktura
102,BDRC,L,Żądanie zedwn. faktury kor. minus
102,BDRC,M,外部貸方請款文件請求
102,BDRC,N,Ext. facturatiedocumentaanvraag (credit)
102,BDRC,O,Forespørsel om ekstern kredit. faktura
102,BDRC,P,Solicitação doc.faturamento crédito ext.
102,BDRC,Q,Pož.na faktúru pre ext.dobropis
102,BDRC,R,Внеш. кред. - запрос фактуры
102,BDRC,S,Solicitud doc.facturación crédito ext.
102,BDRC,T,Harici alacak faturalama belgesi talebi
102,BDRC,U,Ulkoinen hyvityslaskupyyntö
102,BDRC,V,Externt fakturaförslag (K)
102,BDRC,W,Външ.кредит: заявка документ изг.сметка
102,BDRC,X,Išor. kred. sąskaitos dokumento užklausa
102,BDRC,Y,Ārējā kredīta norēķina dok. pieprasījums
102,BDRC,c,Sol.doc.factura crèdit ext.
102,BDRC,d,Eksterno odobrenje - zahtev za fakturu
102,BDRC,묩,विस्तारित क्रेडिट बिलिंग दस्तावेज़ अनु.
102,BDRC,뱋,Сыртқы кредит: фактуралық құжат сұрауы
102,BDRC,쁩,Y.cầu ch.từ lập h.đơn ghi có ngoài
102,BDRD,1,外部借项开票凭证请求
102,BDRD,2,คำขอเอกสารการวางบิลเดบิตภายนอก
102,BDRD,3,외부 차변 청구 문서 요청
102,BDRD,4,Cerere doc.facturare debit ext.
102,BDRD,5,Zahteva za eksterni dok. fakt.bremepisa
102,BDRD,6,Vanjsko dugov.: zahtjev za fakturni dok.
102,BDRD,7,Permintaan Dok. Pengebilan Debit Luaran
102,BDRD,8,Зовнішній дебет: запит документа фактури
102,BDRD,9,Väl. deb. arveldusdokumendi taotlus
102,BDRD,A,طلب مستند إعداد فواتير مدين خارجي
102,BDRD,B,חיוב חיצוני - בקשה של מסמך חיוב
102,BDRD,C,Ext. fakturační doklad-debit-požadavek
102,BDRD,D,Fakturaanforderung extern Lastschrift
102,BDRD,E,Ext. Debit Billing Doc. Request
102,BDRD,F,Demande document facture débit ext.
102,BDRD,G,Εξωτ.Αίτηση Παραστ.Τιμολόγ.Χρέωσης
102,BDRD,H,Külső terhelés - számlaigénylés
102,BDRD,I,Rich. documento fatturazione deb. est.
102,BDRD,J,外部借方請求伝票依頼
102,BDRD,K,Anmodn. om ekst. debit. faktura
102,BDRD,L,Żądanie zedwn. faktury kor. plus
102,BDRD,M,外部借方請款文件請求
102,BDRD,N,Ext. facturatiedocumentaanvraag (debet)
102,BDRD,O,Forespørsel om ekstern debit. faktura
102,BDRD,P,Solicitação doc.faturamento débito ext.
102,BDRD,Q,Pož.na faktúru pre ext.ťarchopis
102,BDRD,R,Внеш. деб. - запрос фактуры
102,BDRD,S,Solicitud doc.facturación débito ext.
102,BDRD,T,Harici borç faturalama belgesi talebi
102,BDRD,U,Ulkoinen veloituslaskupyyntö
102,BDRD,V,Externt fakturaförslag (D)
102,BDRD,W,Външ.дебит: заявка документ изг.сметка
102,BDRD,X,Išor. deb. sąskaitos dokumento užklausa
102,BDRD,Y,Ārējā debeta norēķina dok. pieprasījums
102,BDRD,c,Sol.doc.factura càrrec ext.
102,BDRD,d,Eksterno zaduženje - zahtev za fakturu
102,BDRD,묩,विस्तारित डेबिट बिलिंग दस्तावेज़ अनुरोध
102,BDRD,뱋,Сыртқы дебет: фактуралық құжат сұрауы
102,BDRD,쁩,Y.cầu ch.từ lập h.đơn ghi nợ ngoài
102,BIND,1,间接发票回扣
102,BIND,2,Indir. Invoice Reb.
102,BIND,3,간접 송장 리베이트
102,BIND,4,Indir.factură rabat
102,BIND,5,Indir.račun bonus
102,BIND,6,Indir.fakt.-Rab.
102,BIND,7,Reb. Invois Tdk Lngs
102,BIND,8,Непрямий розр.бонуса
102,BIND,9,Kaudne arve boonus
102,BIND,A,خصم فاتورة غير مباشر
102,BIND,B,הנ.מסמך חיוב לא ישיר
102,BIND,C,Nepř.zúčt.bonusu
102,BIND,D,Indir.Rechn.Bonus
102,BIND,E,Indir. Invoice Reb.
102,BIND,F,Calc. indir. rist.
102,BIND,G,Εμμεσ.Εκπτ.Τιμολογ.
102,BIND,H,Közv.szla bónusz
102,BIND,I,Fatt. ind. bonus
102,BIND,J,間接請求書リベート
102,BIND,K,Indir. fakturabonus
102,BIND,L,Rabat fakt. pośr.
102,BIND,M,間接發票回扣
102,BIND,N,Ind. factuurbonus
102,BIND,O,Indir. fakturabonus
102,BIND,P,Bônus fatura ind.
102,BIND,Q,Nepr.zúčt.bonusu
102,BIND,R,КосвРасчетБонуса
102,BIND,S,Factura indir.rappel
102,BIND,T,Dolaylı hspl.primi
102,BIND,U,Epäs. lask. bonus
102,BIND,V,Indir. fakt.bonus
102,BIND,W,НедирРабат-Фактура
102,BIND,X,Neties.sąsk.nuolaida
102,BIND,Y,Netieša faktūrrēķina bonusatlaide
102,BIND,c,Factura ind.ràpel
102,BIND,d,Indir. fakt. bonusa
102,BIND,묩,अप्रत्यक्ष इनवॉइसछूट
102,BIND,뱋,Жанама шот-фак.бон.
102,BIND,쁩,C.khấu hđơn g.tiếp
102,BINP,1,间接计划结算回扣
102,BINP,2,Ind.Plan.SettlmntReb
102,BINP,3,간접계획정산리베이트
102,BINP,4,Ind.plan.rabat fact.
102,BINP,5,Ind. plan.rač. bonus
102,BINP,6,IndPlanObračRabat
102,BINP,7,Reb.Pylsn.Rncg.TLngs
102,BINP,8,Непр.план.роз.бонуса
102,BINP,9,Kaud.pln.kul.p.boon.
102,BINP,A,Ind.Plan.SettlmntReb
102,BINP,B,הנ.מס.חב.מת.לא ישיר
102,BINP,C,Nepř.pl.zúčt.bonusu
102,BINP,D,Ind. Planrechn.Bonus
102,BINP,E,Ind.Plan.SettlmntReb
102,BINP,F,CalcPlan. ind. rist.
102,BINP,G,Εμμεσ.Εκπτ.Τακτ.Πρ.
102,BINP,H,Közv.tervelsz.bónusz
102,BINP,I,Fatt.pian.ind. bonus
102,BINP,J,間接計画決済リベート
102,BINP,K,Ind. planl. afrBonus
102,BINP,L,Rabat plan. fakt. p.
102,BINP,M,間接規劃結算回扣
102,BINP,N,Ind. planfact. bonus
102,BINP,O,Ind.budsj.avr.bonus
102,BINP,P,BônusFaturaPlanInd.
102,BINP,Q,Nepr.pl.zúčt.bonusu
102,BINP,R,КосвПланРасчетБонуса
102,BINP,S,Fact.plan ind.rappel
102,BINP,T,Dolaylı pl.hespl.prm
102,BINP,U,Epäs. suunn.lask.bon
102,BINP,V,Ind. plan.avräkn. bonus
102,BINP,W,НедирПлРабат-Спораз.
102,BINP,X,Neties.plan.atis.nl.
102,BINP,Y,Netieša plāna norēķinu bonusatlaide
102,BINP,c,Fact.plan.ind.ràpel
102,BINP,d,Ind.plan.obr.bonusa
102,BINP,묩,व्यक्ति.यो.निप.छूट
102,BINP,뱋,Ес.айыр.бон.жан.жос.
102,BINP,쁩,Ck.tt.gtiếp theok.h
102,BK1,1,借项凭证协议
102,BK1,2,ใบข้อตกลงใบเพิ่มหนี้
102,BK1,3,차변메모계약
102,BK1,4,Acord debit memo
102,BK1,5,Dogovor za dobropis
102,BK1,6,Obavj.tereć.sporaz.
102,BK1,7,Perjanjian Memo Dbit
102,BK1,8,Угода дебет-авізо
102,BK1,9,Deebetarve leping
102,BK1,A,اتفاقية مذكرة مدين
102,BK1,B,הסכם הודעת חיוב
102,BK1,C,Vrubopis - dohoda
102,BK1,D,Gutschrift Abspr.
102,BK1,E,Debit Memo Agreemnt
102,BK1,F,Avoir accord
102,BK1,G,Συμφ.Χρεωσ.Σημ.
102,BK1,H,Megterhelés vitatása
102,BK1,I,Addebito da accordo
102,BK1,J,クレジットメモ契約
102,BK1,K,Kreditnota - aftale
102,BK1,L,Poroz. fakt.kor.plus
102,BK1,M,借項通知單協議
102,BK1,N,Creditnota afspraak
102,BK1,O,Debetnota - avtale
102,BK1,P,Nota crédito estip.
102,BK1,Q,Dobropis - dohoda
102,BK1,R,КредитАвизо-Соглашен
102,BK1,S,Abono acuerdo
102,BK1,T,Borç dekontu (anlş.)
102,BK1,U,Hyvityslasku sopimus
102,BK1,V,Avtalad debetnota
102,BK1,W,Спораз. за ДебАвизо
102,BK1,X,Deb. sąsk. sutartis
102,BK1,Y,Kredīta avizo vienošanās
102,BK1,c,Acord abonament
102,BK1,d,Sporazum o zaduženju
102,BK1,묩,डेबिट मेमो अनुबंध
102,BK1,뱋,Дебеттік авизо кел.
102,BK1,쁩,C.nhận giấyghinợ
102,BK3,1,借项凭证协议
102,BK3,2,ใบข้อตกลงใบเพิ่มหนี้
102,BK3,3,차변메모계약
102,BK3,4,Acord debit memo
102,BK3,5,Dogovor za dobropis
102,BK3,6,Obavj.tereć.sporaz.
102,BK3,7,Perjanjian Memo Dbit
102,BK3,8,Угода дебет-авізо
102,BK3,9,Deebetarve leping
102,BK3,A,اتفاقية مذكرة مدين
102,BK3,B,הסכם הודעת חיוב
102,BK3,C,Vrubopis - dohoda
102,BK3,D,Gutschrift Abspr.
102,BK3,E,Debit Memo Agreemnt
102,BK3,F,Avoir accord
102,BK3,G,Συμφ.Χρεωσ.Σημ.
102,BK3,H,Megterhelés vitatása
102,BK3,I,Addebito da accordo
102,BK3,J,クレジットメモ契約
102,BK3,K,Kreditnota - aftale
102,BK3,L,Poroz. fakt.kor.plus
102,BK3,M,借項通知單協議
102,BK3,N,Creditnota afspraak
102,BK3,O,Debetnota - avtale
102,BK3,P,Nota crédito estip.
102,BK3,Q,Dobropis - dohoda
102,BK3,R,КредитАвизо-Соглашен
102,BK3,S,Abono acuerdo
102,BK3,T,Borç dekontu (anlş.)
102,BK3,U,Hyvityslasku sopimus
102,BK3,V,Avtalad debetnota
102,BK3,W,Спораз. за ДебАвизо
102,BK3,X,Deb. sąsk. sutartis
102,BK3,Y,Kredīta avizo vienošanās
102,BK3,c,Acord abonament
102,BK3,d,Sporazum o zaduženju
102,BK3,묩,डेबिट मेमो अनुबंध
102,BK3,뱋,Дебеттік авизо кел.
102,BK3,쁩,C.nhận giấyghinợ
102,BM1,1,借项凭证协议
102,BM1,2,ใบข้อตกลงใบเพิ่มหนี้
102,BM1,3,차변메모계약
102,BM1,4,Acord debit memo
102,BM1,5,Dogovor za dobropis
102,BM1,6,Obavj.tereć.sporaz.
102,BM1,7,Perjanjian Memo Dbit
102,BM1,8,Угода дебет-авізо
102,BM1,9,Deebetarve leping
102,BM1,A,اتفاقية مذكرة مدين
102,BM1,B,הסכם הודעת חיוב
102,BM1,C,Vrubopis - dohoda
102,BM1,D,Gutschrift Abspr.
102,BM1,E,Debit Memo Agreemnt
102,BM1,F,Avoir accord
102,BM1,G,Συμφ.Χρεωσ.Σημ.
102,BM1,H,Megterhelés vitatása
102,BM1,I,Addebito da accordo
102,BM1,J,クレジットメモ契約
102,BM1,K,Kreditnota - aftale
102,BM1,L,Poroz. fakt.kor.plus
102,BM1,M,借項通知單協議
102,BM1,N,Creditnota afspraak
102,BM1,O,Debetnota - avtale
102,BM1,P,Nota crédito estip.
102,BM1,Q,Dobropis - dohoda
102,BM1,R,КредитАвизо-Соглашен
102,BM1,S,Abono acuerdo
102,BM1,T,Borç dekontu (anlş.)
102,BM1,U,Hyvityslasku sopimus
102,BM1,V,Avtalad debetnota
102,BM1,W,Спораз. за ДебАвизо
102,BM1,X,Deb. sąsk. sutartis
102,BM1,Y,Kredīta avizo vienošanās
102,BM1,c,Acord abonament
102,BM1,d,Sporazum o zaduženju
102,BM1,묩,डेबिट मेमो अनुबंध
102,BM1,뱋,Дебеттік авизо кел.
102,BM1,쁩,C.nhận giấyghinợ
102,BM3,1,借项凭证协议
102,BM3,2,ใบข้อตกลงใบเพิ่มหนี้
102,BM3,3,차변메모계약
102,BM3,4,Acord debit memo
102,BM3,5,Dogovor za dobropis
102,BM3,6,Obavj.tereć.sporaz.
102,BM3,7,Perjanjian Memo Dbit
102,BM3,8,Угода дебет-авізо
102,BM3,9,Deebetarve leping
102,BM3,A,اتفاقية مذكرة مدين
102,BM3,B,הסכם הודעת חיוב
102,BM3,C,Vrubopis - dohoda
102,BM3,D,Gutschrift Abspr.
102,BM3,E,Debit Memo Agreemnt
102,BM3,F,Avoir accord
102,BM3,G,Συμφ.Χρεωσ.Σημ.
102,BM3,H,Megterhelés vitatása
102,BM3,I,Addebito da accordo
102,BM3,J,クレジットメモ契約
102,BM3,K,Kreditnota - aftale
102,BM3,L,Poroz. fakt.kor.plus
102,BM3,M,借項通知單協議
102,BM3,N,Creditnota afspraak
102,BM3,O,Debetnota - avtale
102,BM3,P,Nota crédito estip.
102,BM3,Q,Dobropis - dohoda
102,BM3,R,КредитАвизо-Соглашен
102,BM3,S,Abono acuerdo
102,BM3,T,Borç dekontu (anlş.)
102,BM3,U,Hyvityslasku sopimus
102,BM3,V,Avtalad debetnota
102,BM3,W,Спораз. за ДебАвизо
102,BM3,X,Deb. sąsk. sutartis
102,BM3,Y,Kredīta avizo vienošanās
102,BM3,c,Acord abonament
102,BM3,d,Sporazum o zaduženju
102,BM3,묩,डेबिट मेमो अनुबंध
102,BM3,뱋,Дебеттік авизо кел.
102,BM3,쁩,C.nhận giấyghinợ
102,BV,1,现金销售
102,BV,2,ใบขายเงินสด
102,BV,3,현금 판매
102,BV,4,Vânzări în numerar
102,BV,5,Gotovinska prodaja
102,BV,6,Gotovinska prodaja
102,BV,7,Jualan Tunai
102,BV,8,Продаж за готівку
102,BV,9,Sularahamüük
102,BV,A,مبيعات نقدية
102,BV,B,מכירות במזומן
102,BV,C,ProdZaHot
102,BV,D,Barverkauf
102,BV,E,Cash Sales
102,BV,F,Vente au comptant
